sta_no	sta_name	no_peaks	beg_year	end_year	type_anal	ken_tau	ken_p_value	ken_med_slope	ken_no_peaks	q_100_est	q_100_l95	q_100_u95	q_020_est	q_020_l95	q_020_u95	q_010_est	q_010_l95	q_010_u95	q_002_est	q_002_l95	q_002_u95
04096015	GALIEN RIVER NEAR SAWYER, MI	23	1996	2017	BULL.17B	-0.107	0.492	-10.167	23	2088.0	1774.0	2631.0	2997.0	2418.0	4169.0	3426.0	2704.0	4959.0	4539.0	3411.0	7160.0
04096405	ST. JOSEPH RIVER AT BURLINGTON, MI	56	1963	2018	BULL.17B	0.132	0.153	2.817	56	1066.0	960.9	1212.0	1386.0	1218.0	1637.0	1514.0	1318.0	1814.0	1801.0	1538.0	2221.0
04096515	SOUTH BRANCH HOG CREEK NEAR ALLEN, MI	49	1970	2018	BULL.17B	0.128	0.199	1.709	49	511.6	444.1	611.3	747.5	623.9	949.4	854.5	702.2	1111.0	1121.0	890.4	1530.0
04097500	ST. JOSEPH RIVER AT THREE RIVERS, MI	59	1950	2018	BULL.17B	0.261	0.005	24.924	56	5834.0	5347.0	6501.0	7571.0	6762.0	8769.0	8312.0	7348.0	9775.0	10070.0	8699.0	12220.0
04097540	PRAIRIE RIVER NEAR NOTTAWA, MI	56	1963	2018	BULL.17B	0.073	0.429	0.896	56	582.5	518.5	672.7	793.6	685.6	959.1	882.8	753.9	1085.0	1091.0	909.2	1389.0
04099000	ST. JOSEPH RIVER AT MOTTVILLE, MI	95	1924	2018	BULL.17B	0.081	0.246	5.625	94	7581.0	7090.0	8204.0	10020.0	9163.0	11180.0	11110.0	10060.0	12550.0	13780.0	12230.0	15990.0
04101500	ST. JOSEPH RIVER AT NILES, MI	88	1931	2018	BULL.17B	0.197	0.007	39.881	88	16300.0	15200.0	17710.0	20750.0	18970.0	23160.0	22580.0	20490.0	25470.0	26790.0	23910.0	30870.0
04102500	PAW PAW RIVER AT RIVERSIDE, MI	67	1952	2018	BULL.17B	0.277	0.001	10.0	67	2543.0	2308.0	2862.0	3681.0	3227.0	4357.0	4232.0	3655.0	5113.0	5693.0	4756.0	7199.0
04104945	WANADOGA CREEK NEAR BATTLE CREEK, MI	24	1995	2018	BULL.17B	0.228	0.124	10.206	24	726.9	583.9	987.3	1069.0	815.6	1605.0	1220.0	911.9	1900.0	1583.0	1134.0	2657.0
04105000	BATTLE CREEK AT BATTLE CREEK, MI	87	1931	2018	BULL.17B	0.128	0.081	4.375	86	2382.0	2166.0	2667.0	3408.0	3009.0	3975.0	3880.0	3384.0	4600.0	5074.0	4311.0	6230.0
04105500	KALAMAZOO RIVER NEAR BATTLE CREEK, MI	81	1938	2018	BULL.17B	0.129	0.09	8.477	81	4443.0	4073.0	4931.0	6109.0	5450.0	7040.0	6855.0	6048.0	8020.0	8696.0	7491.0	10510.0
04106000	KALAMAZOO RIVER AT COMSTOCK, MI	81	1933	2018	BULL.17B	0.188	0.014	13.367	80	4901.0	4517.0	5404.0	6544.0	5885.0	7469.0	7260.0	6464.0	8400.0	8983.0	7829.0	10700.0
04106400	WEST FORK PORTAGE CREEK AT KALAMAZOO, MI	59	1960	2018	BULL.17B	0.157	0.079	0.111	59	39.8	36.4	44.4	53.5	47.5	62.4	59.7	52.4	70.8	75.1	64.1	92.4
04109000	GRAND RIVER AT JACKSON, MI	83	1936	2018	BULL.17B	-0.015	0.844	-0.167	83	820.4	778.7	873.1	998.1	931.9	1087.0	1072.0	994.0	1178.0	1243.0	1136.0	1393.0
04111000	GRAND RIVER NEAR EATON RAPIDS, MI	57	1949	2018	BULL.17B	0.117	0.2	8.639	57	3477.0	3169.0	3899.0	4377.0	3903.0	5073.0	4728.0	4182.0	5547.0	5493.0	4777.0	6602.0
04111379	RED CEDAR RIVER NEAR WILLIAMSTON, MI	31	1975	2018	BULL.17B	0.08	0.541	4.13	31	1457.0	1242.0	1807.0	2174.0	1761.0	2946.0	2520.0	1997.0	3537.0	3433.0	2595.0	5204.0
04112000	SLOAN CREEK NEAR WILLIAMSTON, MI	64	1955	2018	BULL.17B	0.025	0.776	0.283	64	494.0	421.9	599.1	845.5	686.5	1104.0	1030.0	818.5	1385.0	1552.0	1179.0	2227.0
04112500	RED CEDAR RIVER AT EAST LANSING, MI	110	1903	2018	BULL.17B	-0.132	0.042	-5.946	110	3685.0	3350.0	4116.0	5600.0	4935.0	6524.0	6530.0	5680.0	7736.0	8996.0	7607.0	11050.0
04113000	GRAND RIVER AT LANSING, MI	118	1901	2018	BULL.17B	-0.084	0.184	-9.231	114	9759.0	8893.0	10870.0	14490.0	12830.0	16770.0	16710.0	14620.0	19640.0	22420.0	19130.0	27220.0
04116000	GRAND RIVER AT IONIA, MI	70	1949	2018	BULL.17B	0.072	0.378	28.571	70	19190.0	17350.0	21660.0	25320.0	22350.0	29610.0	27800.0	24320.0	32930.0	33340.0	28630.0	40540.0
04117500	THORNAPPLE RIVER NEAR HASTINGS, MI	74	1945	2018	BULL.17B	0.083	0.296	6.8	74	4165.0	3728.0	4759.0	5908.0	5130.0	7050.0	6676.0	5729.0	8100.0	8534.0	7141.0	10720.0
04119000	GRAND RIVER AT GRAND RAPIDS, MI	118	1901	2018	BULL.17B	-0.056	0.366	-20.833	118	30710.0	28260.0	33810.0	43270.0	38860.0	49200.0	48880.0	43470.0	56290.0	62670.0	54580.0	74130.0
