sta_no	sta_name	no_peaks	beg_year	end_year	type_anal	ken_tau	ken_p_value	ken_med_slope	ken_no_peaks	q_100_est	q_100_l95	q_100_u95	q_020_est	q_020_l95	q_020_u95	q_010_est	q_010_l95	q_010_u95	q_002_est	q_002_l95	q_002_u95
04096015	GALIEN RIVER NEAR SAWYER, MI	23	1996	2017	EMA	-0.107	0.492	-10.167	23	2101.0	1656.0	3485.0	3253.0	2325.0	9471.0	3857.0	2614.0	14010.0	5587.0	3315.0	35080.0
04096405	ST. JOSEPH RIVER AT BURLINGTON, MI	56	1963	2018	EMA	0.132	0.153	2.817	56	1056.0	947.8	1213.0	1333.0	1149.0	1674.0	1438.0	1201.0	1879.0	1660.0	1278.0	2405.0
04096515	SOUTH BRANCH HOG CREEK NEAR ALLEN, MI	49	1970	2018	EMA	0.128	0.199	1.709	49	510.4	433.1	645.7	738.9	593.6	1148.0	841.2	653.2	1440.0	1092.0	774.5	2368.0
04097500	ST. JOSEPH RIVER AT THREE RIVERS, MI	59	1950	2018	EMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04097540	PRAIRIE RIVER NEAR NOTTAWA, MI	56	1963	2018	EMA	0.073	0.429	0.896	56	578.9	509.2	684.7	772.4	650.8	1033.0	851.2	695.5	1203.0	1029.0	774.3	1666.0
04099000	ST. JOSEPH RIVER AT MOTTVILLE, MI	95	1924	2018	EMA	0.081	0.246	5.625	94	7595.0	6958.0	8600.0	10140.0	8898.0	13110.0	11300.0	9693.0	15680.0	14190.0	11510.0	23610.0
04101500	ST. JOSEPH RIVER AT NILES, MI	88	1931	2018	EMA	0.197	0.007	39.881	88	16320.0	15050.0	18100.0	20600.0	18460.0	24950.0	22330.0	19640.0	28240.0	26200.0	21910.0	36850.0
04102500	PAW PAW RIVER AT RIVERSIDE, MI	67	1952	2018	EMA	0.277	0.001	10.0	67	2554.0	2228.0	3189.0	3836.0	3111.0	6610.0	4489.0	3508.0	9403.0	6310.0	4495.0	18450.0
04104945	WANADOGA CREEK NEAR BATTLE CREEK, MI	24	1995	2018	EMA	0.228	0.124	10.206	24	709.2	566.7	990.3	968.5	723.8	1644.0	1069.0	751.5	1974.0	1284.0	778.7	2989.0
04105000	BATTLE CREEK AT BATTLE CREEK, MI	87	1931	2018	EMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04105500	KALAMAZOO RIVER NEAR BATTLE CREEK, MI	81	1938	2018	EMA	0.129	0.09	8.477	81	4447.0	3990.0	5170.0	6142.0	5260.0	8264.0	6907.0	5770.0	10020.0	8807.0	6902.0	15430.0
04106000	KALAMAZOO RIVER AT COMSTOCK, MI	81	1933	2018	EMA	0.188	0.014	13.367	80	4918.0	4455.0	5616.0	6522.0	5688.0	8428.0	7207.0	6145.0	9914.0	8823.0	7087.0	14150.0
04106400	WEST FORK PORTAGE CREEK AT KALAMAZOO, MI	59	1960	2018	EMA	0.157	0.079	0.111	59	39.9	35.5	47.7	54.5	46.0	80.9	61.3	50.3	102.6	78.4	60.2	175.0
04109000	GRAND RIVER AT JACKSON, MI	83	1936	2018	EMA	-0.015	0.844	-0.167	83	821.1	769.4	901.3	1003.0	913.1	1208.0	1079.0	967.4	1363.0	1257.0	1083.0	1789.0
04111000	GRAND RIVER NEAR EATON RAPIDS, MI	57	1949	2018	EMA	0.117	0.2	8.639	57	3476.0	3197.0	4483.0	3947.0	3632.0	6311.0	4067.0	3738.0	6932.0	4243.0	3898.0	8091.0
04111379	RED CEDAR RIVER NEAR WILLIAMSTON, MI	31	1975	2018	EMA	0.08	0.541	4.13	31	1467.0	1185.0	2174.0	2278.0	1690.0	5686.0	2692.0	1909.0	8057.0	3847.0	2439.0	17950.0
04112000	SLOAN CREEK NEAR WILLIAMSTON, MI	64	1955	2018	EMA	0.025	0.776	0.283	64	499.7	409.0	667.3	852.1	643.8	1537.0	1034.0	747.0	2179.0	1541.0	990.9	4790.0
04112500	RED CEDAR RIVER AT EAST LANSING, MI	110	1903	2018	EMA	-0.132	0.042	-5.946	110	3710.0	3284.0	4364.0	5632.0	4714.0	7787.0	6555.0	5321.0	9863.0	8975.0	6726.0	16680.0
04113000	GRAND RIVER AT LANSING, MI	118	1901	2018	EMA	-0.084	0.184	-9.231	114	9766.0	8704.0	11360.0	14540.0	12310.0	19380.0	16800.0	13820.0	24000.0	22620.0	17330.0	38390.0
04116000	GRAND RIVER AT IONIA, MI	70	1949	2018	EMA	0.072	0.378	28.571	70	19040.0	17240.0	21270.0	23400.0	20830.0	28390.0	24850.0	21670.0	31510.0	27590.0	22850.0	39420.0
04117500	THORNAPPLE RIVER NEAR HASTINGS, MI	74	1945	2018	EMA	0.083	0.296	6.8	74	4165.0	3664.0	4928.0	5859.0	4935.0	8092.0	6594.0	5400.0	9847.0	8342.0	6333.0	15100.0
04119000	GRAND RIVER AT GRAND RAPIDS, MI	118	1901	2018	EMA	-0.056	0.366	-20.833	118	30810.0	27960.0	34780.0	42610.0	37200.0	52880.0	47680.0	40650.0	62000.0	59640.0	47760.0	86920.0
